DBT,0.700±0.028
FPF,TPF
0.0,0.0
0.01,0.034328622257965055
0.02,0.059198841844466776
0.03,0.08370132984131808
0.04,0.10801663340427597
0.05,0.13155269294892394
0.06,0.15189896823024998
0.07,0.17078176624401029
0.08,0.18853825296696577
0.09,0.2052625354155793
0.1,0.2244276041177173
0.11,0.2436183147951639
0.12,0.26280947300347474
0.13,0.2814870914632008
0.14,0.2990500760859139
0.15,0.3164893878163101
0.16,0.3340667505854136
0.17,0.3516441133545171
0.18,0.36886466151114683
0.19,0.3863298356736684
0.2,0.4037654002368309
0.21,0.4206160726021648
0.22,0.43710304870628214
0.23,0.4531685622427513
0.24,0.4688161298543227
0.25,0.4835537196489181
0.26,0.4975908804477396
0.27,0.512165957760508
0.28,0.5278346042254481
0.29,0.5432073186037746
0.3,0.5583477864871421
0.31,0.5718948789027927
0.32,0.585731134089052
0.33,0.5995736015752571
0.34,0.6122921565351733
0.35,0.6253388258612335
0.36,0.6412273228304486
0.37,0.6553158384349631
0.38,0.6695149688797585
0.39,0.6833677556523758
0.4,0.6959704307488953
0.41,0.709112851089571
0.42,0.7219953571384141
0.43,0.7332102672212487
0.44,0.7436352950648827
0.45,0.7544831630408929
0.46,0.7662829207945911
0.47,0.7765571559812084
0.48,0.7865313779894518
0.49,0.7954194258472179
0.5,0.8041123698058094
0.51,0.814957253589267
0.52,0.8265068267072463
0.53,0.8353522307489599
0.54,0.8427779302443298
0.55,0.8501668993970745
0.56,0.8566895078065396
0.57,0.8627403829645185
0.58,0.8693770348893705
0.59,0.8768156386085332
0.6,0.8839416186953607
0.61,0.8893216678072847
0.62,0.8944239842197593
0.63,0.9000404203778514
0.64,0.9059367438441708
0.65,0.911619385575234
0.66,0.9170502976858709
0.67,0.922550132354127
0.68,0.9279111373015909
0.69,0.931924030372724
0.7,0.9354283210469618
0.71,0.9395646152681522
0.72,0.9424695639878075
0.73,0.9446466280606454
0.74,0.946824288595617
0.75,0.9490059408387147
0.76,0.9511875930818122
0.77,0.95336924532491
0.78,0.9555508975680077
0.79,0.9575561876316181
0.8,0.9594533847465107
0.81,0.9614036763787257
0.82,0.9633656229049873
0.83,0.9653233241482275
0.84,0.9674067451678307
0.85,0.9698938979080843
0.86,0.9720572444436094
0.87,0.9742205909791345
0.88,0.976270543500069
0.89,0.9782479982083966
0.9,0.9802254529167244
0.91,0.9822029076250517
0.92,0.9841803623333792
0.93,0.986157817041707
0.94,0.9881352717500343
0.95,0.9901127264583621
0.96,0.9920901811666897
0.97,0.9940676358750172
0.98,0.9960450905833449
0.99,0.9980225452916723
1.0,1.0
