QT,0.772±0.029
FPF,TPF
0.0,0.0
0.01,0.07953422000633624
0.02,0.12664608004984326
0.03,0.16673118698198794
0.04,0.20263806973489937
0.05,0.23552152332255993
0.06,0.26607788590359677
0.07,0.29469691101550377
0.08,0.3216659808328613
0.09,0.3471971506786285
0.1,0.37145077673105353
0.11,0.39457942418865605
0.12,0.4166975663178691
0.13,0.4378537517647896
0.14,0.4581371507294704
0.15,0.4776131153969127
0.16,0.49633006185441086
0.17,0.5143511708563889
0.18,0.5316933155501294
0.19,0.5484079896002386
0.2,0.5645366465035115
0.21,0.5801038087465896
0.22,0.595126899396807
0.23,0.6096481760445557
0.24,0.6236803849534117
0.25,0.6372214363730723
0.26,0.6503270388583894
0.27,0.6630040629649375
0.28,0.675264079350629
0.29,0.6871318027632775
0.3,0.6986303394255717
0.31,0.7097319672093567
0.32,0.7204992566819329
0.33,0.7309200743196458
0.34,0.7410109105752651
0.35,0.7507669842512549
0.36,0.7602295124133466
0.37,0.7693990016439803
0.38,0.7782678677397591
0.39,0.786873018173623
0.4,0.7951918871391902
0.41,0.8032392067033826
0.42,0.8110644934010948
0.43,0.8186192646628686
0.44,0.8259548374834883
0.45,0.8330296849236317
0.46,0.8398960231596991
0.47,0.8465502647430917
0.48,0.8529844941698351
0.49,0.8592120530525115
0.5,0.8652563843172961
0.51,0.8711002813728367
0.52,0.8767486366221728
0.53,0.8822275214185785
0.54,0.8875028514803729
0.55,0.8926241218741201
0.56,0.8975813152093993
0.57,0.9023665226102904
0.58,0.9070046187656464
0.59,0.9114797987602724
0.6,0.9158052044485752
0.61,0.9199817931958014
0.62,0.9240112946506717
0.63,0.9279119659476455
0.64,0.93167053376369
0.65,0.9353105337520834
0.66,0.9388199414766146
0.67,0.9422009140925418
0.68,0.9454631794348624
0.69,0.9485986272748869
0.7,0.951621122962797
0.71,0.9545392350691163
0.72,0.9573416911222647
0.73,0.9600420492937468
0.74,0.9626312158945058
0.75,0.9651221901024089
0.76,0.967520386547244
0.77,0.9698087134170459
0.78,0.9720134286680503
0.79,0.9741414687764994
0.8,0.9761529546909778
0.81,0.9780906148998673
0.82,0.9799265191832657
0.83,0.9816937294173936
0.84,0.9833675631807518
0.85,0.9849766470006438
0.86,0.986492321178574
0.87,0.9879385447569642
0.88,0.989311224424258
0.89,0.9906014396105807
0.9,0.9918298208488361
0.91,0.9929732972231
0.92,0.994037085387653
0.93,0.9950568970641411
0.94,0.9959878313060733
0.95,0.9968517561441413
0.96,0.997642982001012
0.97,0.9983549759404374
0.98,0.9990003027478579
0.99,0.9995593134162476
1.0,1.0
