QT,0.746±0.028
FPF,TPF
0.0,0.0
0.01,0.0412909678752267
0.02,0.0777953852814411
0.03,0.1189782174230154
0.04,0.14919368817606696
0.05,0.1819612873956213
0.06,0.21394006317159694
0.07,0.24302474050399958
0.08,0.2718857126016178
0.09,0.3047112527970854
0.1,0.33547960392202575
0.11,0.3672992266641182
0.12,0.39103132910317734
0.13,0.41605112466780536
0.14,0.43957429315526914
0.15,0.46233400928496843
0.16,0.488149404729372
0.17,0.5090467100259529
0.18,0.5306678104853367
0.19,0.5442798644279089
0.2,0.5593568191696184
0.21,0.5730942324921915
0.22,0.5894654826529101
0.23,0.6054946312404758
0.24,0.6207878542414081
0.25,0.642603023386092
0.26,0.6559575309218076
0.27,0.6666085189699017
0.28,0.6774358755217068
0.29,0.6869910139376966
0.3,0.6982395247137445
0.31,0.7078504559245745
0.32,0.7160372584425986
0.33,0.7246677519045798
0.34,0.736220135924197
0.35,0.7448500665390645
0.36,0.7531284422102926
0.37,0.7679540131903648
0.38,0.7752156355172884
0.39,0.7812357004288296
0.4,0.7880051346454366
0.41,0.7921781126876892
0.42,0.7954548013303325
0.43,0.7996957598683059
0.44,0.8051684299319367
0.45,0.8102985726188946
0.46,0.8155983634650482
0.47,0.8196938208927446
0.48,0.8245274917353166
0.49,0.8290088309163984
0.5,0.8330267363357705
0.51,0.8376057884467256
0.52,0.8421023017471837
0.53,0.8457669323553167
0.54,0.8492529403287193
0.55,0.8527939269277277
0.56,0.856338473324216
0.57,0.8598044736453696
0.58,0.863163251795844
0.59,0.8667932116874764
0.6,0.8704685817706889
0.61,0.8741826346096925
0.62,0.8778966874486959
0.63,0.8817527864867486
0.64,0.8854925351926403
0.65,0.8898380172570626
0.66,0.8941017357019098
0.67,0.8978110639418911
0.68,0.9009760918920584
0.69,0.9041749542548065
0.7,0.9073738166175547
0.71,0.9104434081469694
0.72,0.9134651871763845
0.73,0.9165510639501601
0.74,0.9196417652853394
0.75,0.9227324666205187
0.76,0.925823167955698
0.77,0.9289138692908772
0.78,0.9320045706260564
0.79,0.9350952719612357
0.8,0.9381859732964148
0.81,0.9412766746315943
0.82,0.9443673759667734
0.83,0.9474580773019529
0.84,0.950548778637132
0.85,0.9536394799723112
0.86,0.9567301813074905
0.87,0.9598208826426697
0.88,0.9629115839778489
0.89,0.9660022853130282
0.9,0.9690929866482075
0.91,0.9721836879833866
0.92,0.975274389318566
0.93,0.9783650906537452
0.94,0.9814557919889245
0.95,0.9845464933241038
0.96,0.9876371946592831
0.97,0.9907278959944623
0.98,0.9938185973296415
0.99,0.9969092986648208
1.0,1.0
